Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.6201280899047266,1.6933495339505817,1.6032955260584625,1.6916662454605103,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127073418283545,1.7160737592086661,1.670626081147202,1.6832504272460938,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832502965735487,1.6874583581040796,1.6580016063358487,1.6748340129852295,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.666417795821863,1.666417795821863,1.5780472159401218,1.60750412940979,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.615920543900883,1.6622098684310913,1.6032960367314837,1.6622098684310913,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563184915100027,1.670626126954994,1.6411692115650385,1.6580017805099487,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.6706259454888581,1.6706259454888581,1.6159203431510243,1.6285446882247925,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243366216788975,1.6537935366890895,1.6058209245000234,1.6411691904067993,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.6327529060428485,1.6580017591347012,1.6066625689891458,1.6411691904067993,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.6285449059067019,1.6293865504277538,1.5990879897790014,1.6117123365402222,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159204133335903,1.6369610428794585,1.60750412940979,1.60750412940979,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032956675477572,1.6453769203498214,1.5974043178398265,1.63022780418396,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.636961149592448,1.6672595489551023,1.6344362160925292,1.6580017805099487,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.6495853051545457,1.6537933666401972,1.6125537540772406,1.6201283931732178,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286760257976,1.6352776829659528,1.6159203431510243,1.6285446882247925,1316800,0.0,0.0
2002-03-07 00:00:00-05:00,1.6285447366630348,1.7337478829522843,1.6285447366630348,1.7185986042022705,2700800,0.0,0.0
2002-03-08 00:00:00-05:00,1.7084990626295145,1.7674128898349175,1.7084990626295145,1.758996605873108,1600800,0.0,0.0
2002-03-11 00:00:00-05:00,1.7505804337845718,1.8010779802552812,1.7463723717983775,1.7817206382751465,5462400,0.0,0.0
2002-03-12 00:00:00-05:00,1.7674124504516728,1.8431586662227282,1.7674124504516728,1.7842450141906738,5819200,0.0,0.0
2002-03-13 00:00:00-05:00,1.7842449338333572,1.8094936177775052,1.7379554658994627,1.7690956592559814,5063200,0.0,0.0
2002-03-14 00:00:00-05:00,1.769095831864585,1.7842451079200579,1.753946555809112,1.767412543296814,1696800,0.0,0.0
2002-03-15 00:00:00-05:00,1.7674128859533946,1.7758291698967208,1.6748340836313353,1.712707281112671,1708000,0.0,0.0
2002-03-18 00:00:00-05:00,1.716915028023474,1.716915028023474,1.6032956169389072,1.6243362426757812,2207200,0.0,0.0
